Países,Fecha,PIB anual,PIB anual.1,PIB anual.2,PIB anual.3,Var. PIB (%),Var. PIB (%).1
Vanuatu [+],2010,543 M€,,721 M$,,"1,3%",
Samoa [+],2010,513 M€,,680 M$,,"2,5%",
Yemen [+],2010,23.294 M€,,30.907 M$,,"7,7%",
Sudáfrica [+],2010,314.528 M€,,417.364 M$,,"3,0%",
Zambia [+],2010,15.273 M€,,20.264 M$,,"10,3%",
Zimbabue [+],2010,13.013 M€,,17.265 M$,,"20,0%",
< PIB 2009PIB 2011 >,< PIB 2009PIB 2011 >,< PIB 2009PIB 2011 >,< PIB 2009PIB 2011 >,< PIB 2009PIB 2011 >,< PIB 2009PIB 2011 >,,
España [+],2011,1.068.690 M€,,1.487.569 M$,,"-0,6%",
Alemania [+],2011,2.746.910 M€,,3.823.576 M$,,"3,8%",
Reino Unido [+],2011,1.912.869 M€,,2.675.590 M$,,"1,3%",
Francia [+],2011,2.062.141 M€,,2.870.409 M$,,"2,4%",
Italia [+],2011,1.657.362 M€,,2.306.974 M$,,"0,7%",
Portugal [+],2011,176.318 M€,,245.427 M$,,"-1,7%",
Zona Euro [+],2011,9.824.849 M€,,13.808.563 M$,,"1,7%",
Estados Unidos [+],2011,11.209.034 M€,,15.599.700 M$,,"1,6%",
Japón [+],2011,4.247.574 M€,,6.279.423 M$,,"-0,5%",
China [+],2011,5.481.302 M€,,7.671.757 M$,,"9,6%",
Andorra [+],2011,2.607 M€,,3.625 M$,,"0,0%",
Emiratos Árabes Unidos [+],2011,265.056 M€,,368.881 M$,,"6,7%",
Afganistán [+],2011,12.855 M€,,17.890 M$,,"6,5%",
Antigua y Barbuda [+],2011,925 M€,,1.287 M$,,"-2,0%",
Albania [+],2011,9.328 M€,,12.974 M$,,"2,5%",
Armenia [+],2011,7.287 M€,,10.142 M$,,"4,7%",
Angola [+],2011,90.214 M€,,125.552 M$,,"3,6%",
Argentina [+],2011,379.134 M€,,530.158 M$,,"6,0%",
Austria [+],2011,308.167 M€,,428.955 M$,,"2,9%",
Australia [+],2011,1.092.498 M€,,1.553.207 M$,,"4,0%",
Azerbaiyán [+],2011,47.389 M€,,65.952 M$,,"0,1%",
Bosnia y Herzegovina [+],2011,13.412 M€,,18.665 M$,,"1,0%",
Barbados [+],2011,3.997 M€,,5.563 M$,,"-0,1%",
Bangladés [+],2011,110.725 M€,,154.097 M$,,"6,5%",
Bélgica [+],2011,378.745 M€,,527.197 M$,,"1,9%",
Burkina Faso [+],2011,8.679 M€,,12.078 M$,,"6,6%",
Bulgaria [+],2011,41.479 M€,,57.681 M$,,"2,1%",
Baréin [+],2011,21.495 M€,,29.915 M$,,"1,9%",
Burundi [+],2011,1.607 M€,,2.236 M$,,"4,0%",
Benin [+],2011,7.682 M€,,10.691 M$,,"3,0%",
Brunéi [+],2011,13.310 M€,,18.524 M$,,"3,7%",
Bolivia [+],2011,20.058 M€,,27.915 M$,,"5,5%",
Brasil [+],2011,1.878.284 M€,,2.616.157 M$,,"4,0%",
Bahamas [+],2011,7.236 M€,,10.070 M$,,"0,6%",
Bután [+],2011,1.351 M€,,1.880 M$,,"10,5%",
Botsuana [+],2011,10.858 M€,,15.111 M$,,"6,8%",
Bielorrusia [+],2011,44.095 M€,,61.368 M$,,"5,2%",
Belice [+],2011,1.316 M€,,1.832 M$,,"-0,1%",
Canadá [+],2011,1.288.578 M€,,1.793.327 M$,,"3,1%",
República Democrática del Congo [+],2011,18.974 M€,,26.406 M$,,"7,6%",
República Centroafricana [+],2011,1.752 M€,,2.438 M$,,"4,2%",
República del Congo [+],2011,11.247 M€,,15.653 M$,,"2,2%",
Suiza [+],2011,523.943 M€,,727.232 M$,,"1,4%",
Costa de Marfil [+],2011,25.529 M€,,35.529 M$,,"-4,9%",
Chile [+],2011,180.515 M€,,251.225 M$,,"6,2%",
Camerún [+],2011,22.006 M€,,30.631 M$,,"3,4%",
Colombia [+],2011,240.687 M€,,334.966 M$,,"6,9%",
Costa Rica [+],2011,30.726 M€,,42.763 M$,,"4,4%",
Cuba [+],2011,49.563 M€,,68.990 M$,,"2,8%",
Cabo Verde [+],2011,1.471 M€,,2.047 M$,,"3,9%",
Chipre [+],2011,19.858 M€,,27.642 M$,,"0,4%",
Chequia [+],2011,166.546 M€,,231.429 M$,,"1,8%",
Yibuti [+],2011,1.250 M€,,1.740 M$,,"7,3%",
Dinamarca [+],2011,248.105 M€,,344.316 M$,,"1,3%",
Dominica [+],2011,360 M€,,501 M$,,"-0,2%",
República Dominicana [+],2011,41.680 M€,,58.006 M$,,"3,2%",
Argelia [+],2011,156.880 M€,,218.332 M$,,"3,0%",
Ecuador [+],2011,56.755 M€,,78.987 M$,,"8,5%",
Estonia [+],2011,16.742 M€,,23.304 M$,,"7,6%",
Egipto [+],2011,178.001 M€,,247.726 M$,,"1,8%",
Eritrea [+],2011,1.484 M€,,2.065 M$,,"25,7%",
Etiopía [+],2011,21.901 M€,,30.480 M$,,"11,4%",
Finlandia [+],2011,197.655 M€,,275.127 M$,,"2,4%",
Fiyi [+],2011,2.942 M€,,4.094 M$,,"2,7%",
Estados Federados de Micronesia [+],2011,221 M€,,308 M$,,"3,8%",
Gabón [+],2011,13.082 M€,,18.207 M$,,"7,1%",
Granada [+],2011,560 M€,,779 M$,,"0,8%",
Georgia [+],2011,11.119 M€,,15.476 M$,,"7,9%",
Ghana [+],2011,38.532 M€,,53.625 M$,,"14,0%",
Gambia [+],2011,1.013 M€,,1.410 M$,,"-8,1%",
Guinea [+],2011,4.868 M€,,6.775 M$,,"5,6%",
Guinea Ecuatorial [+],2011,15.344 M€,,21.354 M$,,"6,5%",
Grecia [+],2011,203.475 M€,,283.228 M$,,"-9,9%",
Guatemala [+],2011,34.072 M€,,47.419 M$,,"4,2%",
Guinea-Bisáu [+],2011,831 M€,,1.157 M$,,"8,1%",
Guyana [+],2011,2.391 M€,,3.328 M$,,"5,4%",
Hong Kong [+],2011,178.567 M€,,248.514 M$,,"4,8%",
Honduras [+],2011,12.725 M€,,17.710 M$,,"3,8%",
Croacia [+],2011,45.759 M€,,63.699 M$,,"-0,1%",
Haití [+],2011,9.347 M€,,13.009 M$,,"5,1%",
Hungría [+],2011,101.987 M€,,141.713 M$,,"1,9%",
Indonesia [+],2011,641.634 M€,,892.969 M$,,"6,2%",
Irlanda [+],2011,173.004 M€,,240.813 M$,,"1,6%",
Israel [+],2011,192.381 M€,,267.739 M$,,"5,5%",
India [+],2011,1.309.937 M€,,1.871.918 M$,,"6,6%",
Irak [+],2011,133.469 M€,,185.750 M$,,"7,5%",
Irán [+],2011,518.880 M€,,722.130 M$,,"5,7%",
Islandia [+],2011,11.058 M€,,15.394 M$,,"1,4%",
Jamaica [+],2011,10.625 M€,,14.787 M$,,"1,4%",
Jordania [+],2011,23.453 M€,,32.640 M$,,"2,9%",
Kenia [+],2011,33.452 M€,,46.555 M$,,"5,1%",
Kirguistán [+],2011,4.454 M€,,6.198 M$,,"6,0%",
Camboya [+],2011,11.536 M€,,16.154 M$,,"7,3%",
Kiribati [+],2011,141 M€,,196 M$,,"3,3%",
Comoras [+],2011,735 M€,,1.023 M$,,"4,1%",
San Cristóbal y Nieves [+],2011,601 M€,,836 M$,,"1,6%",
Corea del Norte [+],2011,11.271 M€,,15.689 M$,,"0,8%",
Corea del Sur [+],2011,939.304 M€,,1.253.430 M$,,"3,7%",
Kuwait [+],2011,110.670 M€,,154.020 M$,,"9,6%",
Kazajistán [+],2011,138.410 M€,,192.626 M$,,"7,5%",
Laos [+],2011,6.441 M€,,8.964 M$,,"8,0%",
Líbano [+],2011,28.689 M€,,39.927 M$,,"0,9%",
Santa Lucía [+],2011,1.127 M€,,1.569 M$,,"4,9%",
Liechtenstein [+],2011,4.182 M€,,6.238 M$,,"-4,2%",
Sri Lanka [+],2011,48.663 M€,,67.725 M$,,"8,7%",
Liberia [+],2011,1.681 M€,,2.340 M$,,"7,7%",
Lesoto [+],2011,1.847 M€,,2.571 M$,,"6,3%",
Lituania [+],2011,31.066 M€,,43.233 M$,,"6,3%",
Luxemburgo [+],2011,44.324 M€,,61.696 M$,,"1,0%",
Letonia [+],2011,19.023 M€,,26.805 M$,,"3,0%",
Libia [+],2011,34.612 M€,,48.170 M$,,"-50,3%",
Marruecos [+],2011,78.827 M€,,109.705 M$,,"5,2%",
Mónaco [+],2011,4.374 M€,,6.089 M$,,"7,0%",
Moldavia [+],2011,6.048 M€,,8.417 M$,,"5,8%",
Montenegro [+],2011,3.238 M€,,4.506 M$,,"3,4%",
Madagascar [+],2011,8.301 M€,,11.683 M$,,"1,6%",
Islas Marshall [+],2011,124 M€,,172 M$,,"-0,5%",
Macedonia del Norte [+],2011,7.544 M€,,10.495 M$,,"2,3%",
Malí [+],2011,11.109 M€,,15.461 M$,,"3,8%",
Myanmar [+],2011,38.262 M€,,53.250 M$,,"5,5%",
Mongolia [+],2011,7.480 M€,,10.410 M$,,"17,3%",
Mauritania [+],2011,4.873 M€,,6.782 M$,,"4,2%",
Malta [+],2011,7.033 M€,,9.789 M$,,"1,0%",
Mauricio [+],2011,8.388 M€,,11.673 M$,,"4,1%",
Maldivas [+],2011,1.889 M€,,2.629 M$,,"8,6%",
Malaui [+],2011,8.077 M€,,11.241 M$,,"4,9%",
México [+],2011,883.096 M€,,1.229.014 M$,,"3,4%",
Malasia [+],2011,217.131 M€,,302.184 M$,,"5,3%",
Mozambique [+],2011,10.504 M€,,14.619 M$,,"7,1%",
Namibia [+],2011,8.926 M€,,12.423 M$,,"5,1%",
Níger [+],2011,6.290 M€,,8.754 M$,,"2,4%",
Nigeria [+],2011,424.921 M€,,591.367 M$,,"4,9%",
Nicaragua [+],2011,7.023 M€,,9.774 M$,,"6,3%",
Países Bajos [+],2011,656.013 M€,,913.141 M$,,"1,8%",
Noruega [+],2011,368.828 M€,,512.869 M$,,"1,4%",
Nepal [+],2011,15.582 M€,,21.685 M$,,"3,4%",
Nauru [+],2011,50 M€,,69 M$,,"14,4%",
Nueva Zelanda [+],2011,120.105 M€,,168.460 M$,,"2,5%",
Omán [+],2011,55.685 M€,,77.497 M$,,"2,9%",
Panamá [+],2011,25.643 M€,,35.688 M$,,"11,9%",
Perú [+],2011,122.707 M€,,170.773 M$,,"6,3%",
Papúa Nueva Guinea [+],2011,12.923 M€,,17.985 M$,,"1,1%",
Filipinas [+],2011,168.294 M€,,234.217 M$,,"3,9%",
Pakistán [+],2011,165.679 M€,,230.577 M$,,"3,2%",
Polonia [+],2011,379.541 M€,,527.849 M$,,"5,3%",
Estado de Palestina [+],2011,8.038 M€,,11.186 M$,,"9,6%",
Palaos [+],2011,140 M€,,195 M$,,"4,5%",
Paraguay [+],2011,24.241 M€,,33.737 M$,,"4,3%",
Catar [+],2011,120.553 M€,,167.775 M$,,"11,3%",
Rumanía [+],2011,138.528 M€,,192.624 M$,,"4,5%",
Serbia [+],2011,36.865 M€,,51.236 M$,,"0,1%",
Rusia [+],2011,1.470.580 M€,,2.045.923 M$,,"4,3%",
Ruanda [+],2011,4.888 M€,,6.803 M$,,"8,0%",
Arabia Saudita [+],2011,489.082 M€,,680.661 M$,,"11,8%",
Islas Salomón [+],2011,765 M€,,1.064 M$,,"7,4%",
Seychelles [+],2011,731 M€,,1.018 M$,,"5,7%",
Sudán [+],2011,47.746 M€,,66.448 M$,,"-3,2%",
Suecia [+],2011,410.288 M€,,570.539 M$,,"3,2%",
Singapur [+],2011,200.729 M€,,279.357 M$,,"6,2%",
Eslovenia [+],2011,36.782 M€,,51.199 M$,,"0,7%",
Eslovaquia [+],2011,71.630 M€,,99.705 M$,,"2,6%",
Sierra Leona [+],2011,3.448 M€,,4.799 M$,,"7,1%",
San Marino [+],2011,1.303 M€,,1.813 M$,,"-8,6%",
Senegal [+],2011,12.798 M€,,17.814 M$,,"1,3%",
Somalia [+],2011,3.609 M€,,5.022 M$,,"6,7%",
Surinam [+],2011,3.402 M€,,4.735 M$,,"5,8%",
Sudán del Sur [+],2011,12.459 M€,,17.340 M$,,"1,4%",
Santo Tomé y Príncipe [+],2011,164 M€,,228 M$,,"2,0%",
El Salvador [+],2011,14.575 M€,,20.284 M$,,"3,8%",
Siria [+],2011,48.521 M€,,67.539 M$,,"2,9%",
Eswatini [+],2011,3.366 M€,,4.685 M$,,"2,2%",
Chad [+],2011,11.987 M€,,16.682 M$,,"4,6%",
Togo [+],2011,3.895 M€,,5.421 M$,,"5,8%",
Tailandia [+],2011,266.448 M€,,370.819 M$,,"0,8%",
Tayikistán [+],2011,4.687 M€,,6.523 M$,,"7,4%",
Timor Oriental [+],2011,749 M€,,1.042 M$,,"6,0%",
Turkmenistán [+],2011,19.958 M€,,27.776 M$,,"21,5%",
Túnez [+],2011,34.578 M€,,48.122 M$,,"-2,0%",
Tonga [+],2011,298 M€,,415 M$,,"6,8%",
Türkiye [+],2011,604.836 M€,,844.193 M$,,"11,0%",
Trinidad y Tobago [+],2011,18.530 M€,,25.789 M$,,"-0,2%",
Tuvalu [+],2011,29 M€,,40 M$,,"7,5%",
Taiwan [+],2011,347.755 M€,,483.974 M$,,"3,7%",
Tanzania [+],2011,24.696 M€,,34.369 M$,,"7,9%",
Ucrania [+],2011,117.384 M€,,169.229 M$,,"5,5%",
Uganda [+],2011,19.761 M€,,27.501 M$,,"7,7%",
Uruguay [+],2011,37.618 M€,,52.354 M$,,"5,2%",
Uzbekistán [+],2011,48.461 M€,,67.443 M$,,"7,5%",
San Vicente y las Granadinas [+],2011,513 M€,,714 M$,,"-0,6%",
Venezuela [+],2011,227.405 M€,,316.482 M$,,"4,2%",
Viet Nam [+],2011,123.134 M€,,171.367 M$,,"6,4%",
Vanuatu [+],2011,586 M€,,816 M$,,"3,1%",
Samoa [+],2011,535 M€,,744 M$,,"3,8%",
Yemen [+],2011,23.515 M€,,32.726 M$,,"-12,7%",
Sudáfrica [+],2011,329.600 M€,,458.199 M$,,"3,2%",
Zambia [+],2011,16.853 M€,,23.455 M$,,"5,6%",
Zimbabue [+],2011,14.467 M€,,20.134 M$,,"14,2%",
< PIB 2010PIB 2012 >,< PIB 2010PIB 2012 >,< PIB 2010PIB 2012 >,< PIB 2010PIB 2012 >,< PIB 2010PIB 2012 >,< PIB 2010PIB 2012 >,,
